name,link,language
Agence France-Presse,http://afp.com,"http://www.afp.com/en,http://blogs.afp.com/correspondent,http://www.citizenside.com,http://www.sos-afp.org"
Agência Brasil,,"http://agenciabrasil.ebc.com,http://agenciabrasil.ebc.com/en"
Australian Associated Press,http://aap.com.au/,"http://www.aap.com.au/,http://www.acma.gov.au/"
AKIpress news agency,http://www.akipress.org,"http://akipress.org/,http://akipress.com/,http://tazabek.kg/,http://barakelde.turmush.kg/"
Athens-Macedonian News Agency,http://www.amna.gr/,
EFE,http://www.efe.com,"http://www.efeverde.com,https://www.google.com/culturalinstitute/beta/partner/agencia-efe"
Agenzia Giornalistica Italia,http://www.agi.it,
Agerpres,http://www.agerpres.ro,http://125.agerpres.ro/agerpres125/english/historic
Agenzia Nazionale Stampa Associata,http://www.ansa.it,"https://web.archive.org/web/20081219063807/http://ansa.porta80.com.br/html/p_index.asp,https://web.archive.org/web/20081220133623/http://ansa.porta80.com.br/html/e_index.asp"
Agenția de presă RADOR,,http://www.rador.ro/
Catalan News Agency,http://www.catalannews.com,"http://llibreria.gencat.cat/product_info.php?products_id=4585,http://www.acn.cat,http://www.catalannewsagency.com/"
Associated Press of Pakistan,,http://www.app.com.pk/
Associated Press Service,,http://www.associatedpressservice.net
Polish Press Agency,http://www.pap.pl,
Associated Press,http://www.ap.org/,"http://www.ap.org,http://www.apimages.com/,https://www.apstylebook.com/,http://www.aparchive.com/,https://www.youtube.com/channel/UCHTK-2W11Vh1V4uwofOfR4w,https://www.aptra.com"
Asian News International,,http://www.aninews.in/
Armenpress,https://armenpress.am/,
Antara (news agency),http://www.antara.net.id/,"http://www.antaranews.com/,http://www.antarafoto.com/"
Yonhap,http://english.yonhapnews.co.kr/,http://www.yonhapnews.co.kr/
Xinhua News Agency,http://www.news.cn/english,"http://english.news.cn/,http://www.news.cn/,https://web.archive.org/web/20110920031145/http://www.edigear.com/search/index.php?ag=3"
Zuma Press,http://www.zumapress.com,
Via News Agency,http://via.news,
Vietnam News Agency,http://news.vnanet.vn,"http://en.vietnamplus.vn/,http://vnews.vnanet.vn/,http://Vietnamplus.vn/raovat/"
World Entertainment News Network,http://www.wenn.com/,
United Press International,http://upi.com,"//www.worldcat.org/oclc/39551960,//www.worldcat.org/oclc/19519378,//www.worldcat.org/oclc/7968758,http://www.upi.com,http://espanol.upi.com,http://www.upiu.com,http://www.downhold.org,http://www.downhold.org/lowry/,http://www.thedownholdproject.info,http://www.deadmicrophone.org"
United News of Bangladesh,,http://www.unbnews.org/
Ukrainian Independent Information Agency,http://www.unian.ua,"http://www.unian.info/,http://www.unian.net/"
United News of India,http://www.uniindia.com,"http://www.univarta.com/,http://www.uniurdu.com"
Turkmenistan State News Agency,,"http://tdh.gov.tm/ru/,http://tdh.gov.tm/en/,http://tdh.gov.tm/tm/"
Tidningarnas Telegrambyrå,http://tt.se/om-tt/in-english,
Télam,http://www.telam.com.ar/,http://www.telam.com.ar
Tanjug,http://www.tanjug.rs,
Tahitipresse,,"http://en.tahitipresse.pf/,http://www.tahitipresse.pf/,http://www.fenuanews.com/"
Syrian Arab News Agency,http://www.sana.sy/en/,"http://www.sana.sy/,http://www.sana.sy/fr/,http://www.sana.sy/he/,http://www.sana.sy/tr/,http://www.sana.sy/es/,http://www.sana.sy/ch,http://www.sana.sy/ru/,http://www.sana.sy/fa/"
Finnish News Agency,http://www.stt.fi/,
Slovenian Press Agency,http://www.sta.si,"http://www.o-sta.com,http://kr-og.sta.si"
Samachar Bharati,http://www.samacharbharti.in,http://www.samacharbharti.com/
Sipa USA,,http://sipausa.com
Swiss Telegraphic Agency,,http://www.sda.ch
Saudi Press Agency,http://www.spa.gov.sa/,"http://www.spa.gov.sa,http://www.edigear.com/search/index.php?ag=5"
Saba News Agency,,"http://www.saba.ye/,http://www.sabanew.net/"
Saba News Agency,,"http://www.saba.ye/,http://www.sabanew.net/"
Ruptly,http://ruptly.tv,"https://www.youtube.com/user/RuptlyTV,http://www.ndr.de/fernsehen/sendungen/zapp/Ruptly-die-russische-TV-Agentur-in-Berlin,ruptly101.html,http://www.aib.org.uk/rt-launches-ruptly-full-service-global-video-news-agency/"
Ritzau,http://www.ritzau.dk/home/,"http://www.ritzau.dk/,http://www.ritzau.dk/ritzauweb.nsf/all/index.htm,https://datacvr.virk.dk/data/visenhed?language=en-gb&enhedstype=virksomhed&id=55261016"
RIA Novosti,http://ria.ru/,"http://sputniknews.com,http://www.rian.ru/,https://web.archive.org/web/*/en.rian.ru,https://web.archive.org/web/20060913092839/http://rusnews.cn/,http://fr.rian.ru/,http://de.rian.ru/,http://sp.rian.ru/,http://ar.rian.ru/,http://pe.rian.ru/,http://www.fapmc.ru/rospechat/rospechat/lwr/unitar/item130.html"
Qatar News Agency,http://www.qna.org.qa/en-us/Home,
Press Trust of India,http://www.ptinews.com/,
Pressclub Information Agency,http://pianews.eu,https://twitter.com/PressClubBG
Press Association,https://www.pressassociation.com/,http://www.pressassociation.com/
Philippines News Agency,http://www.pna.gov.ph/,
PanARMENIAN.Net,http://PanARMENIAN.Net,"http://pan.am/photo/,http://spotlight.am,http://www.panarmenian.net/"
Pakistan Press International,,"http://www.ppinewsagency.com/,https://curlie.org//Regional/Asia/Pakistan/News_and_Media/"
Reuters,https://www.reuters.com,"http://www.webpronews.com/blogtalk/2007/06/18/reuters-on-blogtronix,http://www.opinionjournal.com/best/?id=95001205#reuter,http://www.cbc.ca/news/indepth/words/terrorists.html,http://www.opinionjournal.com/best/?id=110007660,https://www.washingtonpost.com/ac2/wp-dyn/A54924-2002Sep8?language=printer,http://www.pdnonline.com/pdn/search/article_display.jsp?vnu_content_id=1003534746,http://www.wiley.com/WileyCDA/WileyTitle/productCd-1841126012.html,http://www.reuters.com,http://widerimage.reuters.com/timesofcrisis,http://iraq.reuters.com,http://stateoftheworld.reuters.com,http://foundation.reuters.com"
Pacnews,,"http://www.pina.com.fj/?p=pacnews&m=pacnews,http://www.pina.com.fj/"
Notimex,http://www.notimex.gob.mx,
Norwegian News Agency,http://www.ntb.no/,
New Zealand Press Association,http://www.nzpa.co.nz/,
Magyar Távirati Iroda,,http://english.mti.hu/
National Iraqi News Agency,http://www.ninanews.com,"https://www.state.gov/g/drl/rls/shrd/2005/,http://www.irex.org/newsroom/news/2006/1016-mdd-nina.asp"
Namibia Press Agency,,http://www.nampa.org/
Bernama,http://www.bernama.com/,
Lusa News Agency,http://www.lusa.pt/,http://www.gmcs.pt/en/lusa-news-agency
Lao News Agency,http://www.kpl.net.la,http://news.bbc.co.uk/1/hi/world/asia-pacific/country_profiles/1154621.stm#media
Kyodo News,,"http://english.kyodonews.net/,http://www.47news.jp/,http://www.kyodonews.jp/english/,http://www.kyodonews.jp/,http://www.kyodo.co.jp/,http://tchina.kyodonews.jp/,http://china.kyodonews.jp/,http://www.47news.jp/korean/"
Kenya News Agency,,http://www.kenyanewsagency.go.ke
Jiji Press,http://jiji.com,"http://www.jiji.com/c_profile/pdf/balance201603.pdf,http://jen.jiji.com/,http://www.jiji.com/,http://www.jiji.com/c_profile/"
TASS,http://tass.com/,http://tass.ru/
Inter Press Service,http://www.ipsnews.net/,"https://biblio.ugent.be/publication/771511,http://ipsnews.net/,http://www.ips.org"
Interfax,http://www.interfax.com,"http://www.oliverboydbarrett.com/recent-books-2,http://www.journ.msu.ru/science/books/2088/,http://www.interfax.ru/,http://www.ntv.ru/novosti/174913/,http://echo.msk.ru/programs/razvorot/618818-echo/"
Indo-Asian News Service,,
Iranian Students News Agency,http://www.isna.ir/,"//doi.org/10.1111%2Faspp.12134,http://en.isna.ir/"
Islamic Republic News Agency,http://www.irna.ir/,
Icana News Agency,http://www.icana.ir,"http://Tasvirnet.com,http://www.aljazeera.com/news/middleeast/2013/10/iran-says-it-owns-more-uranium-than-needed-2013109124031705950.html,https://www.nytimes.com/2013/10/31/world/middleeast/iran.html?_r=0,http://en.trend.az/iran/2302996.html"
European Pressphoto Agency,http://www.epa.eu,"http://www.ana-mpa.gr,http://www.anp.nl,http://www.ansa.it,http://www.apa.at,http://www.efe.es,http://www.keystone.ch,http://www.lusa.pt,https://web.archive.org/web/20080712083534/http://www.mti.hu/,http://www.pap.pl"
Dow Jones & Company,http://dowjones.com,"http://www.dj.com/,http://www.dj.com/history.asp,http://www.djindexes.com/,http://www.djaverages.com,http://link.brightcove.com/services/player/bcpid2069213001?bclid=28406034001&bctid=28835406001,http://jobs.dowjones.com,https://www.wsj.com/,https://buy.wsj.com/offers/pages/OfferMulti1a?trackCode=aaqim8ng&page=us_imt2,http://www.outperform.market/,http://online.barrons.com/home-page,http://online.barrons.com/public/page/print-digital-subscription.html,http://dowjonestoday.info/,http://www.djnewswires.com/,http://biz.yahoo.com/ic/10/10472.html,http://www.marketwatch.com/,http://www.sustainability-index.com/,http://www.icbenchmark.com/,https://www.wsj.com/articles/SB118591182345183718"
Deutsche Presse-Agentur,http://www.dpa.com,http://www.dpa.de/
DAPD News Agency,http://www.dapd.de,
Czech News Agency,http://www.ctk.eu,
China News Service,http://www.chinanews.com,http://www.ecns.cn/
Central News Agency,http://www.cna.com.tw/,"http://www.cna.com.tw,http://taiwaninfo.nat.gov.tw/,http://spanish.cna.com.tw/ReadNews/Spnlist_Read.aspx,http://focustaiwan.tw/,http://japan.cna.com.tw/"
CCTV+,http://cctvplus.com,
The Canadian Press,http://www.thecanadianpress.com,http://www.marketwire.com
Bulgarian News Agency,,http://www.bta.bg/site/bg/index.shtml
BNO News,http://www.bnonews.com,https://www.techcrunch.com/2009/01/08/breakingnewson-from-twitter-account-to-public-news-wire-service/
Bloomberg News,https://www.bloomberg.com/news,"https://www.bloomberg.com/,https://www.bloomberg.com/politics,http://www.hoovers.com/company/Bloomberg_LP/cfjkri-1.html"
Belga (news agency),,http://www.belga.be
Bangladesh Sangbad Sangstha,http://bssnews.net,
Baltic News Service,http://www.bns.ee,"http://www.bns.lv,http://www.bns.lt,http://www.bns.lv/,http://www.bns.lt/"
Bakhtar News Agency,,"http://www.bakhtarnews.com.af/,http://www.bbc.co.uk/news/world-south-asia-12011352#media"
Bahrain News Agency,http://www.bna.bh/en,"http://www.bna.bh/,http://www.bna.bh/portal/en"
Azerbaijan State News Agency,,"https://web.archive.org/web/20111003221245/http://abc.az/eng/news_23_04_2010_44429.html,http://www.azertag.az/en,https://video.azertag.az/en"
Azerbaijan Press Agency,http://en.apa.az,
Austria Press Agency,,https://web.archive.org/web/20130807202102/http://www.apa.at/cms/site_en
Anadolu Agency,http://www.aa.com.tr/en/,"http://aa.com.tr/en,http://www.dailysabah.com/nation/2014/12/17/anadolu-agencys-new-director-general-appointed"
All Headline News,https://web.archive.org/web/20091112090222/http://www.allheadlinenews.com/,
Algeria Press Service,http://www.aps.dz/en/,"http://online.aps.dz/,http://photo.aps.dz/"
Algemeen Nederlands Persbureau,,"http://www.anp.nl/,http://www.anp-photo.com/"
